target_grade,assignment_preference,trimester_or_semester,age,pay_rent,urinal_choice,stall_choice,weetbix_count,weekly_food_spend,living_arrangements,weekly_alcohol,believe_in_aliens,height,commute,daily_anxiety_frequency,weekly_study_hours,work_status,social_media,gender,average_daily_sleep,sleep_schedule,sibling_count,allergy_count,random_number,favourite_number,favourite_letter,drivers_license,dominant_hand,enrolled_unit,weekly_exercise_hours,weekly_paid_work_hours,assignments_on_time,used_r_before,team_role_type,university_year,wam
Distinction,draw up a schedule and work through it in planned stages,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,5,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,188,Train,4,10,Casual,Youtube,Male,7,5,1,0,6,6,V,Yes,Right,DATA2002,10,20,Always,Yes,8,Third year,65
High Distinction,cram at the last second,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,200,College or student accomodation,Less than 5 standard drinks,NA,172,"Bus, Walk",5,35,I don't currently work,NA,Male,5,6,0,0,8,6,Z,Yes,Left,DATA2002,2,0,Usually,Yes,7,Third year,80.4
Distinction,draw up a schedule and work through it in planned stages,semester,18,yes,B: Middle,B: Middle,2,100,Alone,Less than 5 standard drinks,No,155,Walk,10,24,I don't currently work,Youtube,Female,7,7,0,1,3,7,ITALICIZED,No,Right,DATA2002,1,0,Always,Yes,8,First year,78.3
Distinction,draw up a schedule and work through it in planned stages,NA,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,10,300,College or student accomodation,Between 15 and 20 standard drinks,Yes,194,Walk,1,30,I don't currently work,Instagram,Male,8,10,2,5,9,4,J,Yes,Right,DATA2002,6,0,Always,No,7,Third year,90
Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,183,"Train, Walk",7,10,Casual,Other,Male,7,8,1,3,7,3,E,Yes,Right,DATA2002,3,12,Usually,Yes,7,Second year,74
High Distinction,draw up a schedule and work through it in planned stages,trimester,32,no,A: Closest to the entrance,A: Closest to the entrance,6,500,With partner,Less than 5 standard drinks,No,182,"Train, Bus, Walk",5,20,Full time,Youtube,Male,7,5,2,2,10,7,M,Yes,Right,DATA2902,4,35,Always,Yes,9,Fifth or higher year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,2,60,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,177,Train,3,6,Casual,Other,Male,8,7,1,1,9,6,Y,Yes,Left,DATA2902,8,7,Always,Yes,6,Fourth year,75
Distinction,cram at the last second,semester,20,no,A: Closest to the entrance,C: Furthest from the entrance,3,NA,With parent(s) and/or sibling(s),More than 20 standard drinks,Yes,178,"Bus, I never travel to campus",1,1,I don't currently work,Youtube,Male,7,8,1,0,2,7,L,Yes,Right,DATA2002,3,0,Usually,Yes,6,Second year,70
Distinction,do them immediately,semester,19,no,A: Closest to the entrance,A: Closest to the entrance,3,80,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,183,Walk,7,15,Casual,Instagram,Male,6,1,5,2,5,8,Y,Yes,Right,DATA2902,0,4,Always,Yes,6,Second year,79
High Distinction,do them immediately,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,2,40,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,175,"Train, Bus, Walk",6,20,Casual,Other,Male,8,3,1,0,10,10,S,Yes,Right,DATA2902,3,15,Always,Yes,10,Second year,81
High Distinction,do them immediately,semester,19,no,B: Middle,C: Furthest from the entrance,0,30,With parent(s) and/or sibling(s),I don't drink alcohol,No,149,Train,9,15,Self employed,Tiktok,Female,6,6,1,1,8,4,L,Yes,Right,DATA2002,3,0,Always,Yes,5,Second year,78
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,2,NA,NA,I don't drink alcohol,Yes,170,"Train, Bus",NA,NA,I don't currently work,Other,Male,8,8,1,0,8,2,B,No,Right,DATA2002,NA,NA,Usually,Yes,NA,Second year,75
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,Alone,I don't drink alcohol,Yes,175,Walk,8,7,I don't currently work,Instagram,Female,7,7,0,4,6,6,S,No,Right,DATA2002,3,0,Always,Yes,8,First year,82
High Distinction,do them immediately,semester,19,yes,B: Middle,B: Middle,0,200,Alone,I don't drink alcohol,Yes,177,"Train, Bus, Walk",5,20,I don't currently work,Instagram,Male,8,8,2,3,6,6,K,Yes,Right,DATA2002,10,0,Always,Yes,5,Second year,90
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,7,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,182,"Train, Car",4,3,Casual,Instagram,Male,7,7,3,0,6,4,M,Yes,Right,DATA2002,15,20,Always,Yes,8,Second year,80
Credit,cram at the last second,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,0,200,College or student accomodation,I don't drink alcohol,No,170,Walk,7,20,I don't currently work,Other,Female,7,5,3,2,5,3,NA,No,Right,DATA2002,5,0,Always,No,6,Second year,70
Fail,do them immediately,semester,19,no,C: Furthest from the entrance,B: Middle,10,50,With parent(s) and/or sibling(s),I don't drink alcohol,No,180,"Train, Bus, Walk",6,30,Self employed,Instagram,Male,8,7,1,0,6,5,Y,Yes,Right,DATA2002,6,5,Always,Yes,7,Second year,77
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,4,70,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,171,"Train, Bus, Walk",2,12,Casual,Instagram,Male,9,9,1,0,1,5,C,Yes,Right,DATA2902,3,8,Always,Yes,9,Second year,89.7
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,300,Share house,I don't drink alcohol,No,173,"Train, Bus, Walk",1,30,Casual,Tiktok,Male,8,4,2,1,4,6,U,Yes,Right,DATA2002,14,20,Always,Yes,8,Fourth year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,A: Closest to the entrance,A: Closest to the entrance,0,80,With partner,I don't drink alcohol,Yes,166,"Train, Bus, Car, Walk",4,5,Part time,Instagram,Female,9,8,1,NA,1,1,L,Yes,Right,DATA2002,5,10,Always,Yes,7,Second year,85
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,2,80,College or student accomodation,Between 15 and 20 standard drinks,Yes,170,Walk,5,20,Casual,Tiktok,Female,8,6,2,0,5,10,K,Yes,Left,DATA2902,5,20,Always,Yes,7,Second year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,1,100,With partner,Less than 5 standard drinks,Yes,175,"Bus, Walk",4,5,I don't currently work,Instagram,Female,5,3,1,0,5,5,D,Yes,Left,DATA2902,2,0,Always,Yes,8,Second year,75
Credit,cram at the last second,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),I don't drink alcohol,No,185,"Bus, Walk",2,2,Contractor,Other,Male,7,6,2,1,2,7,J,Yes,Right,DATA2902,1,9,Always,Yes,8,Fourth year,75
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,A: Closest to the entrance,B: Middle,1,100,Share house,I don't drink alcohol,No,168,Train,5,25,I don't currently work,Instagram,Female,7,5,0,3,3,3,A,Yes,Right,DATA2002,2,0,Always,Yes,8,Second year,60
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,70,Share house,Less than 5 standard drinks,Yes,165,"Train, Bus, Walk",5,35,Casual,Instagram,Female,9,9,0,1,2,2,H,Yes,Right,DATA2902,6,15,Always,Yes,9,Second year,84.1
High Distinction,cram at the last second,semester,21,no,A: Closest to the entrance,A: Closest to the entrance,2,100,With partner,Less than 5 standard drinks,Yes,169,Train,5,10,Part time,Tiktok,Male,6,4,0,1,6,6,F,Yes,Right,DATA2902,2,20,Usually,Yes,8,Fourth year,86
High Distinction,draw up a schedule and work through it in planned stages,trimester,19,yes,C: Furthest from the entrance,B: Middle,11,100,Share house,I don't drink alcohol,No,167,"Train, Bus",1,0,Casual,Instagram,Male,8,8,2,0,1,7,D,Yes,Right,DATA2002,0,12,Always,Yes,9,Third year,100
Credit,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,0,150,With parent(s) and/or sibling(s),Between 10 and 15 standard drinks,Yes,152.4,Car,6,10,Self employed,Instagram,Female,8,5,1,0,5,5,L,Yes,Right,DATA2002,3,10,Always,Yes,7,Fourth year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,B: Middle,0,200,College or student accomodation,Less than 5 standard drinks,No,174,Walk,10,30,Part time,Instagram,Male,7,2,1,2,7,7,J,Yes,Right,DATA2002,5,12,Always,Yes,8,Second year,87.3
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,3,250,With parent(s) and/or sibling(s),Between 10 and 15 standard drinks,No,165,"Train, Bus, Ferry",3,5,I don't currently work,Instagram,Female,7,9,1,0,4,4,E,Yes,Left,DATA2002,4,3,Always,Yes,8,Second year,80
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,3,280,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,186,"Train, Walk",7,8,Casual,Discord,Male,7,1,0,0,6,3,A,Yes,Right,DATA2002,0,4,Usually,Yes,8,Third year,65
Fail,cram at the last second,NA,22,yes,B: Middle,C: Furthest from the entrance,5,150,Share house,I don't drink alcohol,No,188,Train,1,4,Casual,Instagram,Male,8,10,2,1,3,3,X,Yes,Right,DATA2002,15,25,Never,Yes,5,Third year,65
Distinction,cram at the last second,semester,22,yes,B: Middle,C: Furthest from the entrance,2,80,Share house,Between 10 and 15 standard drinks,Yes,177,"Train, Bus",7,8,I don't currently work,Youtube,Male,5,3,0,0,6,7,Z,No,Right,DATA2002,8,0,Usually,Yes,6,Third year,58
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,8,30,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,157,"Train, Bus, Walk",8,15,Casual,Instagram,Female,8,5,3,1,6,6,A,No,Right,DATA2002,3,15,Sometimes,Yes,9,Second year,65
High Distinction,do them immediately,semester,25,no,C: Furthest from the entrance,C: Furthest from the entrance,0,300,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,No,152.4,"Train, Bus, Walk",10,10,Full time,Tiktok,Female,10,10,1,0,1,3,C,Yes,Right,DATA2002,1,40,Always,Yes,10,Fifth or higher year,92.5
Distinction,draw up a schedule and work through it in planned stages,trimester,20,no,A: Closest to the entrance,B: Middle,1,140,College or student accomodation,I don't drink alcohol,Yes,185,Walk,4,24,I don't currently work,Other,Male,7,4,2,1,9,9,O,Yes,Right,DATA2002,7,0,Always,Yes,4,Second year,75
Credit,draw up a schedule and work through it in planned stages,semester,23,yes,B: Middle,C: Furthest from the entrance,0,NA,Share house,Less than 5 standard drinks,Yes,175,Bus,2,10,I don't currently work,Wechat,Male,8,8,1,0,7,9,S,Yes,Right,DATA2002,8,0,Always,No,5,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,Share house,Less than 5 standard drinks,Yes,NA,Train,6,25,Part time,Tiktok,Male,7,8,0,13,8,8,S,No,Right,DATA2002,14,28,Always,Yes,8,Second year,79
High Distinction,cram at the last second,semester,19,no,B: Middle,B: Middle,3,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,180,"Train, Walk",5,5,I don't currently work,Youtube,Male,10,3,6,0,3,7,M,Yes,Ambidextrous,DATA2002,0,0,Usually,Yes,6,Second year,60
Pass,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,NA,300,Alone,Less than 5 standard drinks,Yes,NA,Train,3,7,I don't currently work,NA,Male,8,NA,0,0,6,3,S,No,Right,DATA2002,7,NA,Always,Yes,NA,Second year,75
Distinction,cram at the last second,semester,20,no,B: Middle,C: Furthest from the entrance,3,200,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,166,Bus,7,NA,I don't currently work,NA,Male,8,1,0,1,9,5,M,Yes,Right,DATA2002,0,0,Sometimes,Yes,1,Second year,75
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,200,With partner,I don't drink alcohol,Yes,188,Walk,7,48,I don't currently work,Wechat,Male,8,7,NA,0,6,6,C,No,Right,DATA2002,5,0,Always,Yes,7,Second year,73
High Distinction,cram at the last second,semester,19,yes,B: Middle,A: Closest to the entrance,0,187.45,Alone,Less than 5 standard drinks,Yes,185,"Train, Bus, Walk",3,50,I don't currently work,Other,Male,8,5,0,0,6,5,W,No,Ambidextrous,DATA2002,10,40,Always,Yes,6,Second year,83
Distinction,do them immediately,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,40,With partner,I don't drink alcohol,Yes,181,Car,1,5,Full time,Instagram,Male,9,7,0,4,6,6,C,Yes,Right,DATA2002,1,2,Always,Yes,1,Second year,75
High Distinction,cram at the last second,semester,20,no,A: Closest to the entrance,C: Furthest from the entrance,5,40,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,181,"Bus, Tram",7,20,Casual,Youtube,Male,9,5,1,0,5,8,Y,Yes,Right,DATA2002,15,20,Usually,Yes,7,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,A: Closest to the entrance,A: Closest to the entrance,0,400,With partner,Less than 5 standard drinks,Yes,168,Walk,9,15,Casual,Instagram,Female,7,7,1,NA,5,5,A,No,Right,DATA2002,2,10,Always,No,9,Second year,82
Credit,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,B: Middle,NA,200,Share house,I don't drink alcohol,Yes,175,Train,5,32,Casual,Wechat,Male,8,7,2,0,2,10,A,Yes,Right,DATA2002,4,3,Always,Yes,8,Second year,83
High Distinction,do them immediately,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,200,2 friends,I don't drink alcohol,No,180,Bus,8,30,I don't currently work,Wechat,Male,8,7,1,4,9,5,Y,No,Right,DATA2002,14,0,Always,Yes,6,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,B: Middle,0,210,Alone,Less than 5 standard drinks,Yes,178,"Bus, Walk",10,50,I don't currently work,NA,Male,9,5,5,NA,9,6,A,No,Ambidextrous,DATA2002,3,0,Always,Yes,9,Second year,75
Distinction,cram at the last second,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,3,200,Alone,Between 5 and 10 standard drinks,No,180,Train,7,15,Casual,Instagram,Male,8,3,1,0,5,7,X,Yes,Left,DATA2002,4,24,Usually,Yes,3,Third year,80
Distinction,do them immediately,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,300,With partner,I don't drink alcohol,Yes,175,"Train, Bus, Car, Walk",3,12,I don't currently work,Wechat,Male,10,9,0,1,6,6,A,No,Ambidextrous,DATA2002,1,0,Always,Yes,6,Second year,65
Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,B: Middle,0,360,Share house,I don't drink alcohol,Yes,165,Train,8,12,I don't currently work,Wechat,Female,6,1,1,0,7,7,D,No,Right,DATA2002,1,0,Usually,Yes,4,Second year,65
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,A: Closest to the entrance,0,50,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,175,Walk,5,12,I don't currently work,Other,Male,4,2,1,0,7,6,O,No,Right,DATA2002,0,0,Usually,Yes,5,Second year,70
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,500,With partner,Less than 5 standard drinks,Yes,170,Walk,6,35,I don't currently work,Tiktok,Female,10,4,0,1,9,10,A,No,Right,DATA2002,2,0,Always,Yes,9,Second year,72
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,1,150,Share house,Less than 5 standard drinks,No,175,"Bus, Walk",2,42,I don't currently work,Other,Male,7,8,1,0,5,9,L,No,Right,DATA2002,7,5,Always,Yes,8,Second year,82
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,10,Alone,I don't drink alcohol,No,192,Train,5,20,I don't currently work,Other,Male,7,9,1,0,7,7,A,Yes,Right,DATA2002,0,0,Usually,Yes,5,Second year,64
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,NA,With partner,I don't drink alcohol,No,188,Train,10,40,I don't currently work,Other,Male,8,NA,0,3,10,6,A,Yes,Right,DATA2002,1,0,Always,Yes,8,First year,61
Pass,cram at the last second,semester,18,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,80,With partner,I don't drink alcohol,Yes,NA,Walk,6,NA,I don't currently work,Wechat,Male,12,8,2,1,3,5,C,No,Right,DATA2002,NA,NA,Always,No,5,First year,75
Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,10,College or student accomodation,Less than 5 standard drinks,Yes,178,Walk,6,7,I don't currently work,Wechat,Male,7,5,1,2,1,1,T,No,Right,DATA2002,5,0,Always,Yes,6,Second year,70
Credit,cram at the last second,semester,19,yes,C: Furthest from the entrance,B: Middle,0,800,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,175,Bus,8,25,I don't currently work,Tiktok,Female,12,6,1,0,5,5,Y,Yes,Right,DATA2002,7,0,Always,Yes,8,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,22,no,A: Closest to the entrance,B: Middle,100,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,173,"Train, Walk",5,40,I don't currently work,Instagram,Male,7,6,0,0,4,4,J,Yes,Right,DATA2002,NA,0,Always,Yes,10,Fourth year,78.5
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,Share house,Less than 5 standard drinks,No,180,Train,6,55,I don't currently work,Twitter,Male,7,8,0,5,10,8,L,No,Right,DATA2002,30,0,Always,Yes,9,Second year,75
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,With partner,I don't drink alcohol,Yes,175,Train,7,20,I don't currently work,Wechat,NA,7,3,NA,1,6,6,A,Yes,Right,DATA2002,3,0,Always,Yes,7,Second year,75
Credit,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,Alone,I don't drink alcohol,Yes,183,"Train, Walk",5,70,Full time,Twitter,Male,8,5,2,0,7,7,A,Yes,Right,DATA2002,5,50,Always,Yes,5,Second year,63
High Distinction,cram at the last second,semester,20,no,A: Closest to the entrance,A: Closest to the entrance,0,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,182.88,Bus,4,4,Full time,Other,Male,6,1,3,0,7,7,S,Yes,Left,DATA2002,10,6.75,Always,No,10,Third year,80
Pass,do them immediately,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,With partner,I don't drink alcohol,Yes,170,"Train, Walk",9,14,I don't currently work,Other,Male,8,2,1,0,6,6,A,Yes,Right,DATA2002,1,0,Always,Yes,2,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,B: Middle,1,500,Alone,Between 5 and 10 standard drinks,Yes,168,Car,2,6,I don't currently work,Tiktok,Female,9,7,0,4,2,2,D,Yes,Right,DATA2002,2,0,Always,Yes,7,Second year,75
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,150,Share house,Less than 5 standard drinks,Yes,187,Bus,6,30,I don't currently work,Twitter,Male,8,8,0,NA,7,7,J,Yes,Right,DATA2002,5,NA,Usually,Yes,7,Third year,70
High Distinction,draw up a schedule and work through it in planned stages,semester,18,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,70,College or student accomodation,I don't drink alcohol,Yes,152.4,"Bus, Walk, Tram",9,20,Casual,Instagram,NA,8,4,1,0,2,2,P,No,Right,DATA2002,2,19,Always,No,8,Second year,79
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,1,10,College or student accomodation,Less than 5 standard drinks,Yes,178,Walk,5,10,I don't currently work,Wechat,Male,7,5,1,2,5,4,T,No,Right,DATA2002,7,0,Usually,Yes,6,Second year,70
Credit,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,With partner,Less than 5 standard drinks,Yes,162,"Train, Bus, Car, Walk",3,5,Casual,Other,Female,10,9,1,0,7,7,C,Yes,Right,DATA2002,10,11,Always,Yes,7,Second year,66
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,B: Middle,0,50,Share house,I don't drink alcohol,Yes,176,Walk,6,15,I don't currently work,Other,Male,9,3,0,0,2,2,K,No,Right,DATA2002,8,0,Usually,Yes,8,Second year,66
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,B: Middle,0,150,Alone,I don't drink alcohol,Yes,174,Walk,7,45,Full time,NA,Male,9,7,4,1,7,7,NA,Yes,Right,DATA2002,1,0,Always,No,4,Second year,90
High Distinction,cram at the last second,semester,19,yes,B: Middle,B: Middle,2,210,College or student accomodation,I don't drink alcohol,Yes,165,Walk,4,45,I don't currently work,Wechat,Female,8,3,3,0,8,9,S,Yes,Right,DATA2002,2,0,Always,Yes,2,First year,84.5
Credit,cram at the last second,trimester,20,yes,B: Middle,B: Middle,0,300,Alone,I don't drink alcohol,Yes,175,Walk,1,12,Casual,Tiktok,Male,9,5,1,0,7,7,A,No,Right,DATA2002,2,0,Usually,Yes,6,First year,75
High Distinction,do them immediately,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,1000,Share house,I don't drink alcohol,Yes,NA,Walk,10,50,I don't currently work,Wechat,Male,7,10,0,0,10,10,HD,Yes,Right,DATA2002,0,0,Always,Yes,5,Second year,72
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,3,200,Share house,Less than 5 standard drinks,No,169,"Train, Bus, Walk",3,24,Casual,Instagram,Female,8,10,2,0,6,6,M,Yes,Right,DATA2002,3,22.5,Always,Yes,10,Second year,78
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,400,College or student accomodation,I don't drink alcohol,Yes,183,"Train, Bus, Walk",8,30,I don't currently work,Wechat,Male,8,4,1,2,8,6,A,Yes,Right,DATA2002,4,0,Always,Yes,7,Second year,63
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,500,Alone,Less than 5 standard drinks,Yes,166,Walk,3,55,I don't currently work,Wechat,Female,8,7,0,2,6,2,S,No,Right,DATA2002,30,0,Always,Yes,6,Second year,67.13
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,B: Middle,0,200,Alone,I don't drink alcohol,Yes,165,"Bus, Walk",9,45,I don't currently work,Instagram,Female,5,2,0,0,7,3,D,No,Right,DATA2002,10,NA,Usually,Yes,8,Second year,73.8
High Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,20,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,167,Train,6,20,Casual,Youtube,Male,8,3,0,0,1,7,C,Yes,Right,DATA2902,6,12,Always,Yes,9,Second year,85
High Distinction,draw up a schedule and work through it in planned stages,semester,21,no,B: Middle,C: Furthest from the entrance,0,250,Share house,Less than 5 standard drinks,Yes,178,Bus,3,24,Full time,Wechat,Male,4,1,1,0,8,8,S,Yes,Right,DATA2002,4,0,Always,No,5,Second year,75
Distinction,do them immediately,semester,21,yes,B: Middle,B: Middle,5,250,Share house,I don't drink alcohol,Yes,175,"Train, Bus",10,55,I don't currently work,Other,Male,6,3,2,1,3,7,Z,No,Right,DATA2002,4,0,Usually,Yes,8,Second year,70
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,20,With partner,Less than 5 standard drinks,Yes,188,"Bus, Walk",2,28,Self employed,Tiktok,Male,6,10,4,0,6,10,D,Yes,Right,DATA2002,2,0,Always,Yes,5,Second year,60
Credit,cram at the last second,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,280,Share house,I don't drink alcohol,Yes,190,"Train, Bus",7,18,I don't currently work,Other,Male,6,6,0,0,5,5,A,Yes,Right,DATA2002,1,0,Usually,Yes,5,Second year,60
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,2,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,168,Train,5,15,Casual,Twitter,Female,7,8,0,3,9,9,P,Yes,Right,DATA2002,2,12,Always,No,8,Third year,76.6
High Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,3,40,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,180.5,"Bus, Cycle",4,25,Part time,Other,Male,7,7,1,0,3,9,M,Yes,Right,DATA2902,12,5,Always,Yes,10,Second year,87.5
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,150,College or student accomodation,I don't drink alcohol,Yes,161,Walk,7,60,I don't currently work,Instagram,Female,8,5,0,1,6,9,E,No,Right,DATA2002,7,0,Always,Yes,8,First year,79
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,College or student accomodation,Between 5 and 10 standard drinks,Yes,152.4,Walk,6,40,I don't currently work,Instagram,Male,8,7,1,0,5,9,P,Yes,Right,DATA2902,2,0,Always,Yes,9,Second year,70.1
High Distinction,draw up a schedule and work through it in planned stages,semester,23,no,C: Furthest from the entrance,B: Middle,3,NA,With partner,Less than 5 standard drinks,No,151,"Train, Bus",8,30,Casual,Other,Female,9,4,1,0,3,8,F,Yes,Right,DATA2002,6,5,Always,Yes,4,Fourth year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,100,Alone,Less than 5 standard drinks,Yes,155,Walk,8,10,Casual,Other,Female,5,4,1,0,2,8,Z,No,Right,DATA2002,5,16,Usually,Yes,3,Second year,75
High Distinction,cram at the last second,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,3,60,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,179,"Train, Walk",1,9,Casual,Instagram,Male,7,6,2,1,4,4,T,Yes,Right,DATA2002,7,24,Usually,No,8,Second year,70
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,B: Middle,B: Middle,0,300,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,163,Car,8,32,I don't currently work,Instagram,Female,7,4,1,0,1,7,A,No,Right,DATA2002,6,0,Usually,Yes,8,Second year,73
High Distinction,cram at the last second,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,6,100,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,188,"Train, Bus, Walk",1,20,Casual,Instagram,Male,8,8,2,0,3,7,P,Yes,Right,DATA2002,5,15,Always,Yes,10,Fourth year,80
